Time [s],GPIO4,GPIO5
0.000124375,0,1
0.000125542,0,0
0.000125583,1,0
0.000126000,0,0
0.000127583,0,1
0.000128750,0,0
0.000129125,1,0
0.000130333,1,1
0.000131500,1,0
0.000133125,1,1
0.000134292,1,0
0.000135875,1,1
0.000137042,1,0
0.000138625,1,1
0.000139792,1,0
0.000141375,1,1
0.000142542,1,0
0.000144167,1,1
0.000145333,1,0
0.000146917,1,1
0.000148083,1,0
0.000149667,1,1
0.000150833,1,0
0.000151167,0,0
0.000152792,0,1
0.000153917,0,0
0.000154292,1,0
0.000155542,1,1
0.000156708,1,0
0.000158292,1,1
0.000159458,1,0
0.000159542,0,0
0.000161042,0,1
0.000162208,0,0
0.000163833,0,1
0.000164958,0,0
0.000166583,0,1
0.000167750,0,0
0.000167792,1,0
0.000169333,1,1
0.000170500,1,0
0.000170583,0,0
0.000172083,0,1
0.000173250,0,0
0.000174875,0,1
0.000176000,0,0
0.000176083,1,0
0.000176375,0,0
0.000177958,0,1
0.000179125,0,0
0.000180708,0,1
0.000181875,0,0
0.000181958,1,0
0.000183458,1,1
0.000184625,1,0
0.000184708,0,0
0.000186250,0,1
0.000187375,0,0
0.000189000,0,1
0.000190167,0,0
0.000191750,0,1
0.000192917,0,0
0.000193000,1,0
0.000194500,1,1
0.000195667,1,0
0.000197292,1,1
0.000198417,1,0
0.000198500,0,0
0.000200042,0,1
0.000201208,0,0
0.000201250,1,0
0.000201625,0,0
0.000203208,0,1
0.000204375,0,0
0.000204708,1,0
0.000205958,1,1
0.000207125,1,0
0.000208708,1,1
0.000209875,1,0
0.000209958,0,0
0.000211500,0,1
0.000212625,0,0
0.000214250,0,1
0.000215417,0,0
0.000217000,0,1
0.000218167,0,0
0.000219750,0,1
0.000220917,0,0
0.000222542,0,1
0.000223667,0,0
0.000225292,0,1
0.000226458,0,0
0.000226500,1,0
0.000228042,1,1
0.000229208,1,0
0.000229500,0,0
0.000230792,0,1
0.000232167,1,1
0.000233833,0,1
0.000235000,0,0
0.000235375,1,0
0.000236625,1,1
0.000237792,1,0
0.000239375,1,1
0.000240542,1,0
0.000240833,0,0
0.000242125,0,1
0.000243292,0,0
0.000243667,1,0
0.000244875,1,1
0.000246042,1,0
0.000246375,0,0
0.000247667,0,1
0.000248833,0,0
0.000250417,0,1
0.000251583,0,0
0.000253167,0,1
0.000254333,0,0
0.000255958,0,1
0.000257083,0,0
0.000258708,0,1
0.000259875,0,0
0.000259958,1,0
0.000260167,0,0
0.000261458,0,1
0.000262625,0,0
0.000263000,1,0
0.000264250,1,1
0.000265375,1,0
0.000265708,0,0
0.000267000,0,1
0.000268167,0,0
0.000269750,0,1
0.000270917,0,0
0.000272542,0,1
0.000273667,0,0
0.000275292,0,1
0.000276458,0,0
0.000276792,1,0
0.000278042,1,1
0.000279208,1,0
0.000280792,1,1
0.000281958,1,0
0.000282042,0,0
0.000283583,0,1
0.000284708,0,0
0.000284792,1,0
0.000286333,1,1
0.000287625,0,1
0.000288792,0,0
0.000289125,1,0
0.000290375,1,1
0.000291542,1,0
0.000293125,1,1
0.000294292,1,0
0.000294583,0,0
0.000295917,0,1
0.000297042,0,0
0.000297417,1,0
0.000298667,1,1
0.000299833,1,0
0.000300125,0,0
0.000301417,0,1
0.000302583,0,0
0.000304167,0,1
0.000305333,0,0
0.000306958,0,1
0.000308083,0,0
0.000308458,1,0
0.000309708,1,1
0.000310833,1,0
0.000310917,0,0
0.000312458,0,1
0.000313625,0,0
0.000313667,1,0
0.000315208,1,1
0.000316375,1,0
0.000317958,1,1
0.000319125,1,0
0.000320750,1,1
0.000321875,1,0
0.000323500,1,1
0.000324667,1,0
0.000326250,1,1
0.000327417,1,0
0.000329000,1,1
0.000330167,1,0
0.000331792,1,1
0.000332958,1,0
0.000333000,0,0
0.000334542,0,1
0.000335708,0,0
0.000335792,1,0
0.000336042,0,0
0.000337667,0,1
0.000338792,0,0
0.000340417,0,1
0.000341583,0,0
0.000341625,1,0
0.000343167,1,1
0.000344333,1,0
0.000345917,1,1
0.000347083,1,0
0.000348667,1,1
0.000349833,1,0
0.000351458,1,1
0.000352625,1,0
0.000354208,1,1
0.000355375,1,0
0.000355458,0,0
0.000356958,0,1
0.000358125,0,0
0.000359750,0,1
0.000360875,0,0
0.000360958,1,0
0.000361250,0,0
0.000362833,0,1
0.000364000,0,0
0.000365583,0,1
0.000366750,0,0
0.000368375,0,1
0.000369500,0,0
0.000371125,0,1
0.000372292,0,0
0.000373875,0,1
0.000375042,0,0
0.000376667,0,1
0.000377792,0,0
0.000379417,0,1
0.000380583,0,0
0.000382167,0,1
0.000383333,0,0
0.000384917,0,1
0.000386083,0,0
0.000386167,1,0
0.000386542,0,0
0.000388167,0,1
0.000389292,0,0
0.000389667,1,0
0.000390917,1,1
0.000392083,1,0
0.000392167,0,0
0.000393667,0,1
0.000394833,0,0
0.000396417,0,1
0.000397583,0,0
0.000399208,0,1
0.000400375,0,0
0.000400417,1,0
0.000401958,1,1
0.000403125,1,0
0.000403208,0,0
0.000404708,0,1
0.000405875,0,0
0.000407500,0,1
0.000408667,0,0
0.000410250,0,1
0.000411417,0,0
0.000411500,1,0
0.000411875,0,0
0.000413500,0,1
0.000414625,0,0
0.000415000,1,0
0.000416250,1,1
0.000417417,1,0
0.000419000,1,1
0.000420167,1,0
0.000421750,1,1
0.000422917,1,0
0.000424500,1,1
0.000425667,1,0
0.000427292,1,1
0.000428458,1,0
0.000430042,1,1
0.000431208,1,0
0.000431292,0,0
0.000432792,0,1
0.000433958,0,0
0.000435583,0,1
0.000436708,0,0
0.000436792,1,0
0.000437292,0,0
0.000438875,0,1
0.000440042,0,0
0.000440375,1,0
0.000441625,1,1
0.000442792,1,0
0.000444375,1,1
0.000445542,1,0
0.000445625,0,0
0.000447167,0,1
0.000448292,0,0
0.000449917,0,1
0.000451083,0,0
0.000451125,1,0
0.000452667,1,1
0.000453833,1,0
0.000453917,0,0
0.000455417,0,1
0.000456583,0,0
0.000456667,1,0
0.000458208,1,1
0.000459333,1,0
0.000460958,1,1
0.000462125,1,0
0.000463708,1,1
0.000464875,1,0
0.000465167,0,0
0.000466458,0,1
0.000467833,1,1
0.000469500,0,1
0.000470667,0,0
0.000471042,1,0
0.000472292,1,1
0.000473458,1,0
0.000475042,1,1
0.000476208,1,0
0.000476500,0,0
0.000477792,0,1
0.000478958,0,0
0.000479333,1,0
0.000480542,1,1
0.000481708,1,0
0.000482000,0,0
0.000483333,0,1
0.000484458,0,0
0.000486083,0,1
0.000487250,0,0
0.000488833,0,1
0.000490000,0,0
0.000491583,0,1
0.000492750,0,0
0.000494375,0,1
0.000495500,0,0
0.000495583,1,0
0.000495833,0,0
0.000497125,0,1
0.000498292,0,0
0.000498667,1,0
0.000499875,1,1
0.000501042,1,0
0.000501333,0,0
0.000502625,0,1
0.000503792,0,0
0.000505417,0,1
0.000506542,0,0
0.000508167,0,1
0.000509333,0,0
0.000510917,0,1
0.000512083,0,0
0.000513667,0,1
0.000514833,0,0
0.000515208,1,0
0.000516458,1,1
0.000517583,1,0
0.000517667,0,0
0.000519208,0,1
0.000520375,0,0
0.000520417,1,0
0.000521958,1,1
0.000523250,0,1
0.000524417,0,0
0.000524792,1,0
0.000526042,1,1
0.000527208,1,0
0.000528792,1,1
0.000529958,1,0
0.000530250,0,0
0.000531542,0,1
0.000532708,0,0
0.000533083,1,0
0.000534292,1,1
0.000535458,1,0
0.000535792,0,0
0.000537083,0,1
0.000538250,0,0
0.000539833,0,1
0.000541000,0,0
0.000542583,0,1
0.000543750,0,0
0.000544125,1,0
0.000545333,1,1
0.000546500,1,0
0.000546583,0,0
0.000548125,0,1
0.000549292,0,0
0.000549333,1,0
0.000550875,1,1
0.000552042,1,0
0.000553625,1,1
0.000554792,1,0
0.000556375,1,1
0.000557542,1,0
0.000557625,0,0
0.000559167,0,1
0.000560333,0,0
0.000560375,1,0
0.000561917,1,1
0.000563083,1,0
0.000564667,1,1
0.000565833,1,0
0.000565917,0,0
0.000567417,0,1
0.000568583,0,0
0.000568667,1,0
0.000570208,1,1
0.000571333,1,0
0.000571875,0,0
0.000573500,0,1
0.000574667,0,0
0.000575000,1,0
0.000576250,1,1
0.000577417,1,0
0.000579000,1,1
0.000580167,1,0
0.000580250,0,0
0.000581792,0,1
0.000582917,0,0
0.000583000,1,0
0.000584542,1,1
0.000585708,1,0
0.000585750,0,0
0.000587292,0,1
0.000588458,0,0
0.000590042,0,1
0.000591208,0,0
0.000592833,0,1
0.000593958,0,0
0.000595583,0,1
0.000596750,0,0
0.000596792,1,0
0.000598333,1,1
0.000599500,1,0
0.000599792,0,0
0.000601083,0,1
0.000602458,1,1
0.000602792,1,1
